street,note,crashes,deaths,serious_injuries,first_year,last_year
MEDICAL DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
MIDCROWN DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
MOUNTAIN STAR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
N 281 HWY,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
N FLORES ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
N HACKBERRY,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
N PALMETTO ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
NACOGDOCHES RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
NE LOOP 410,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
NEWELL AVE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
NW 38TH ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
NW LOOP 410,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2021,2021
OLD CORPUS CHRISTI RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
OLD PEARSALL RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2022,2022
PERRIN BEITEL RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
PICKWELL DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2020,2020
QUINTANA RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
RAY ELLISON BLVD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
REED RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
RITTIMAN RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
RIVAS ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
ROBINHOOD PL,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
S ACME RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2017,2017
S NEW BRAUNFELS AVE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
S SAN GABRIEL AVE,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
S TRINITY ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2021,2021
S WW WHITE RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2025,2025
S ZARZAMORA ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2019,2019
SAN FERNANDO ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2023,2023
SANTIAGO ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
SOLEDAD ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
SOUTHTON RD,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2024,2024
ST CHARLES ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2016,2016
SW 19TH ST,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
SW MILITARY DR,raw count; not adjusted for road length or bicyclist exposure,1,0,1,2018,2018
