segmentid,road_label,from_street,to_street,length_miles,crashes,deaths,serious_injuries,first_year,last_year,max_match_distance_ft
18401,W SOUTHCROSS BLVD,TUPPER AVE,NOBLE AVE,0.24147801226184526,1,0,1,2020,2020,4.1
18564,S ZARZAMORA,W WINNIPEG AVE,HOOVER AVE,0.05837509255939201,1,0,1,2019,2019,2.5
18926,N MAIN AVE,RICHMOND AVE,W EUCLID AVE,0.04888004006132866,1,0,1,2020,2020,5.8
19769,PLEASANTON RD,ROBERT E LEE ST,E SOUTHCROSS BLVD,0.04538996730989015,1,0,1,2017,2017,10.8
20364,E COMMERCE ST,N ST MARYS,BRIDGE,0.10118567779939559,1,0,1,2023,2023,3.0
20444,NACOGDOCHES RD,BLOSSOM DR,DANBURY,0.08871339036698266,1,0,1,2018,2018,15.7
20804,E JOSEPHINE ST,AVENUE A,US HWY 281 N,0.05763008501575306,1,0,1,2023,2023,7.1
21078,RAY ELLISON BLVD,APPLE VALLEY DR,BROOK VALLEY DR,0.053056037565136126,1,0,1,2024,2024,0.7
21140,N GRIMES ST,HAYS ST,LAMAR ST,0.06900680337823298,1,0,1,2022,2022,1.0
21338,N MAIN AVE,W LAUREL ST,E EVERGREEN,0.0754056499461316,1,0,1,2022,2022,2.0
21443,SINCLAIR RD,LINDA KAY DR,S WW WHITE RD,0.0917067557881352,1,0,1,2022,2022,1.5
21524,CAPITOL,W LULLWOOD AVE,W HILDEBRAND AVE,0.06841560315360909,1,0,1,2019,2019,4.1
21542,E CEVALLOS,W CEVALLOS,PROBANDT ST,0.36350847964814625,1,0,1,2017,2017,1.8
22486,BROOKLYN AVE,BURNET ST,LIVE OAK ST,0.07146033887231376,1,0,1,2017,2017,6.4
22906,AZUCENA ST,NW 38TH ST,CUL-DE-SAC,0.07496316021143581,1,0,1,2023,2023,1.8
22963,AMIRES PLACE,NW 38TH ST,BRIDGE,0.09920658227368902,1,0,1,2018,2018,1.0
23175,BETTY LEVY,W MILITARY DR,RENE LEVY,0.029463182058839934,1,0,1,2024,2024,2.5
23426,DEERWOOD DR,CLOUDHAVEN DR,THRUSH VIEW LN,0.24035757699135027,1,0,1,2024,2024,5.6
23574,UHR LN,TAMARRON,HILTON HEAD,0.22639689494077708,1,0,1,2025,2025,1.8
23677,S ACME RD,ENRIQUE M BARRERA PKWY,TYSON ST,0.14938348144976057,1,0,1,2017,2017,6.8
23798,COMMERCIAL AVE,SW MILITARY DR,VERNE ST,0.07554159261257863,1,0,1,2022,2022,1.2
24075,W KINGS HWY,SAN PEDRO AVE,BREEDEN ST,0.10355505754458323,1,0,1,2024,2024,2.3
25329,FREDERICKSBURG RD,W WOODLAWN,CAPITOL,0.06711482339903693,1,0,1,2016,2016,1.4
25541,HAYS ST,N MESQUITE ST,N HACKBERRY ST,0.0893841806868411,1,0,1,2025,2025,0.5
25846,9TH ST,UNION,IH 37 S ACCESS RD,0.05542935571836108,1,0,1,2025,2025,0.5
26291,E CYPRESS,OGDEN ST,McCullough Ave,0.06782035348627585,1,0,1,2025,2025,1.7
26369,W HILDEBRAND AVE,MICHIGAN AVE,MICHIGAN AVE,0.03350796300283696,1,0,1,2018,2018,2.1
26823,WHITMAN AVE,ELLA,LENARD,0.06653711642964646,1,0,1,2018,2018,0.2
27032,RIVAS ST,N ELMENDORF,Dead End,0.02290451539928735,1,0,1,2024,2024,4.0
27039,W COMMERCE ST,NW 25TH ST,NW 26TH ST,0.07376268809566335,1,0,1,2023,2023,0.0
27204,KENDALIA AVE,PLEASANTON RD,TUPPER AVE,0.38955662175213696,1,0,1,2017,2017,0.8
28019,DE ZAVALA RD,WEST GOLDEN LN,HART RANCH,0.10788311060785483,1,0,1,2022,2022,4.5
28897,FIVE PALMS DR,RAY ELLISON BLVD,CAMPUS PARK,0.04235934278527601,1,0,1,2024,2024,1.1
29826,DRIFTWOOD,US HWY 90 W,US HWY 90 W,0.015024308620587592,1,0,1,2019,2019,2.2
30177,E RECTOR,MERTZ DR,REPUBLIC DR,0.23339134100445086,1,0,1,2023,2023,3.8
30698,E FREDERICKSBURG RD,N LAREDO ST,N FLORES ST,0.034847849543719216,1,0,1,2017,2017,18.8
30769,BELLINGER,FERRIS AVE,MARTIN LUTHER KING DR,0.057582581632840135,1,0,1,2021,2021,0.6
30918,N ST MARYS,COLLEGE ST,E HOUSTON ST,0.04118681140844521,1,0,1,2018,2018,3.5
31385,ROBINHOOD PLACE,KENILWORTH BLVD,CHEVY CHASE DR,0.18776129673625963,1,0,1,2016,2016,0.5
31930,S ZARZAMORA,FRAN FRAN ST,US HWY 90 W ACCESS RD,0.014837214580481447,1,0,1,2019,2019,17.1
32224,N MAIN AVE,W POPLAR ST,W CYPRESS,0.07470662332709664,1,0,1,2019,2019,8.3
32333,N HACKBERRY ST,BROOKS ST,DUVAL,0.038105076380236996,1,0,1,2016,2016,3.2
33446,N ZARZAMORA,W GRAMERCY PLACE,FREDERICKSBURG RD,0.007678062511103573,1,0,1,2017,2017,1.3
33468,N GENERAL MCMULLEN,DARTMOUTH ST,BOWDOIN ST,0.178331987253023,1,0,1,2022,2022,0.5
33928,S FLORES ST,W LUBBOCK ST,IH 10 E,0.1075899998584079,1,0,1,2017,2017,2.9
34001,MEDICAL DR,BLUFFCREEK DR,FAIRHAVEN ST,0.18233308712056404,1,0,1,2017,2017,6.5
34102,CAROLYN ST,OSAGE,TAOS,0.056116253405709464,1,0,1,2021,2021,5.3
34112,NEWELL,KARNES,AVENUE A,0.04840124959236872,1,0,1,2024,2024,1.7
34944,S FLORES ST,E HART AVE,KOEPKE AVE,0.05302044785472794,1,0,1,2020,2020,0.2
35005,RAYBURN DR,PLEASANTON RD,OPPENHEIMER AVE,0.10885719369229196,1,0,1,2023,2023,2.2
35306,QUINTANA RD,DACUS,TAMPA AVE,0.06514834704381448,1,0,1,2023,2023,2.1
35344,SOUTHTON RD,WRANGLER PARK,DONOP RD,0.3323453161287242,1,0,1,2024,2024,2.1
35598,McCullough Ave,N ST MARYS,AUGUSTA,0.0741191712557086,1,0,1,2024,2024,1.1
35738,S NAVIDAD,DEL VALLE ALLEY,SAN FERNANDO ST,0.03725904644393745,1,0,1,2023,2023,0.2
36162,FAIR AVE,PIEDMONT AVE,PIEDMONT AVE,0.046143030647503504,1,0,1,2023,2023,6.2
36480,E HOUSTON ST,SOLEDAD ST,BRIDGE,0.04755179573251265,1,0,1,2024,2024,4.6
36784,ST CHARLES,CANADIAN ST,HAYS ST,0.029620709451389813,1,0,1,2016,2016,0.5
36997,CROSSWINDS WAY,TECH COM,WURZBACH PKWY,0.3765808082575374,1,0,1,2024,2024,4.9
37078,OLD CORPUS CHRISTI RD,SE LOOP 410 ACCESS RD,SAN JUAN,0.03402913515375666,1,0,1,2016,2016,2.9
37149,FIVE PALMS DR,WAR HORSE DR,TRADING POST,0.05816600785751399,1,0,1,2022,2022,0.4
37187,HORIZON HILL BLVD,EAST HORIZON DR,MIDHORIZON DR,0.1480289793293279,1,0,1,2023,2023,0.2
37211,N NEW BRAUNFELS AVE,EL RANCHO WAY,FLAMINGO DR,0.023556252329848124,1,0,1,2017,2017,0.0
