street,location_note,lat_cell,lon_cell,crashes,deaths,serious_injuries,first_year,last_year
LAMAR ST,approximate half-mile map cell; raw count,29.43,-98.454,1,0,1,2022,2022
LEE HALL ST,approximate half-mile map cell; raw count,29.475,-98.52,1,0,1,2017,2017
LES HARRISON DR,approximate half-mile map cell; raw count,29.49,-98.694,1,0,1,2022,2022
LORENE LN,approximate half-mile map cell; raw count,29.525,-98.502,1,0,1,2024,2024
MARTIN LUTHER KING DR,approximate half-mile map cell; raw count,29.41,-98.436,1,0,1,2021,2021
MEDICAL DR,approximate half-mile map cell; raw count,29.515,-98.568,1,0,1,2017,2017
MIDCROWN DR,approximate half-mile map cell; raw count,29.505,-98.382,1,0,1,2023,2023
MISSION RD,approximate half-mile map cell; raw count,29.335,-98.466,1,0,1,2020,2020
MISSION RD,approximate half-mile map cell; raw count,29.365,-98.49,1,0,1,2016,2016
MOUNTAIN STAR,approximate half-mile map cell; raw count,29.44,-98.676,1,0,1,2018,2018
N FLORES ST,approximate half-mile map cell; raw count,29.44,-98.508,1,0,1,2017,2017
N GENERAL MCMULLEN DR,approximate half-mile map cell; raw count,29.435,-98.556,1,0,1,2022,2022
N GENERAL MCMULLEN DR,approximate half-mile map cell; raw count,29.445,-98.556,1,0,1,2019,2019
N HACKBERRY,approximate half-mile map cell; raw count,29.435,-98.478,1,0,1,2016,2016
N MAIN AVE,approximate half-mile map cell; raw count,29.435,-98.496,1,0,1,2020,2020
N MAIN AVE,approximate half-mile map cell; raw count,29.44,-98.496,1,0,1,2019,2019
N NEW BRAUNFELS AVE,approximate half-mile map cell; raw count,29.51,-98.46,1,0,1,2017,2017
N PALMETTO ST,approximate half-mile map cell; raw count,29.425,-98.466,1,0,1,2024,2024
NACOGDOCHES RD,approximate half-mile map cell; raw count,29.515,-98.454,1,0,1,2018,2018
NEWELL AVE,approximate half-mile map cell; raw count,29.44,-98.484,1,0,1,2024,2024
NW 38TH ST,approximate half-mile map cell; raw count,29.435,-98.58,1,0,1,2023,2023
OCONNOR RD,approximate half-mile map cell; raw count,29.545,-98.376,1,0,1,2022,2022
OCONNOR RD,approximate half-mile map cell; raw count,29.56,-98.388,1,0,1,2023,2023
OLD CORPUS CHRISTI RD,approximate half-mile map cell; raw count,29.325,-98.424,1,0,1,2016,2016
PA1502,approximate half-mile map cell; raw count,29.54,-98.424,1,0,1,2022,2022
PERRIN BEITEL RD,approximate half-mile map cell; raw count,29.525,-98.412,1,0,1,2017,2017
PICKWELL DR,approximate half-mile map cell; raw count,29.36,-98.43,1,0,1,2020,2020
PLEASANTON RD,approximate half-mile map cell; raw count,29.34,-98.508,1,0,1,2024,2024
PLEASANTON RD,approximate half-mile map cell; raw count,29.355,-98.508,1,0,1,2023,2023
PLEASANTON RD,approximate half-mile map cell; raw count,29.36,-98.508,1,0,1,2017,2017
PLEASANTON RD,approximate half-mile map cell; raw count,29.365,-98.508,1,0,1,2017,2017
QUINTANA RD,approximate half-mile map cell; raw count,29.37,-98.556,1,0,1,2023,2023
RAY ELLISON BLVD,approximate half-mile map cell; raw count,29.355,-98.616,1,0,1,2024,2024
REED RD,approximate half-mile map cell; raw count,29.46,-98.646,1,0,1,2017,2017
RITTIMAN RD,approximate half-mile map cell; raw count,29.48,-98.382,1,0,1,2017,2017
RIVAS ST,approximate half-mile map cell; raw count,29.435,-98.532,1,0,1,2024,2024
ROBINHOOD PL,approximate half-mile map cell; raw count,29.495,-98.454,1,0,1,2016,2016
S ACME RD,approximate half-mile map cell; raw count,29.42,-98.592,1,0,1,2017,2017
S FLORES ST,approximate half-mile map cell; raw count,29.35,-98.49,1,0,1,2025,2025
S FLORES ST,approximate half-mile map cell; raw count,29.365,-98.496,1,0,1,2017,2017
S FLORES ST,approximate half-mile map cell; raw count,29.375,-98.502,1,0,1,2020,2020
S FLORES ST,approximate half-mile map cell; raw count,29.395,-98.508,1,0,1,2017,2017
S GENERAL MCMULLEN DR,approximate half-mile map cell; raw count,29.42,-98.556,1,0,1,2019,2019
S NEW BRAUNFELS AVE,approximate half-mile map cell; raw count,29.4,-98.466,1,0,1,2023,2023
S SAN GABRIEL AVE,approximate half-mile map cell; raw count,29.425,-98.562,1,0,1,2024,2024
S TRINITY ST,approximate half-mile map cell; raw count,29.415,-98.52,1,0,1,2021,2021
S WW WHITE RD,approximate half-mile map cell; raw count,29.4,-98.406,1,0,1,2025,2025
S ZARZAMORA ST,approximate half-mile map cell; raw count,29.385,-98.538,1,0,1,2019,2019
SAN FERNANDO ST,approximate half-mile map cell; raw count,29.42,-98.526,1,0,1,2023,2023
SAN PEDRO AVE,approximate half-mile map cell; raw count,29.455,-98.502,1,0,1,2024,2024
SAN PEDRO AVE,approximate half-mile map cell; raw count,29.46,-98.502,1,0,1,2023,2023
SANTIAGO ST,approximate half-mile map cell; raw count,29.415,-98.538,1,0,1,2016,2016
SOLEDAD ST,approximate half-mile map cell; raw count,29.425,-98.496,1,0,1,2024,2024
SOUTHTON RD,approximate half-mile map cell; raw count,29.28,-98.4,1,0,1,2024,2024
ST CHARLES ST,approximate half-mile map cell; raw count,29.43,-98.466,1,0,1,2016,2016
SW 19TH ST,approximate half-mile map cell; raw count,29.41,-98.544,1,0,1,2018,2018
TIMBER PATH,approximate half-mile map cell; raw count,29.48,-98.658,1,0,1,2022,2022
UHR LN,approximate half-mile map cell; raw count,29.555,-98.412,1,0,1,2025,2025
UTSA BLVD,approximate half-mile map cell; raw count,29.575,-98.634,1,0,1,2022,2022
UTSA BLVD,approximate half-mile map cell; raw count,29.575,-98.604,1,0,1,2021,2021
W COMMERCE ST,approximate half-mile map cell; raw count,29.425,-98.55,1,0,1,2023,2023
W COMMERCE ST,approximate half-mile map cell; raw count,29.425,-98.544,1,0,1,2022,2022
W COMMERCE ST,approximate half-mile map cell; raw count,29.425,-98.514,1,0,1,2019,2019
W COMMERCE ST,approximate half-mile map cell; raw count,29.43,-98.592,1,0,1,2016,2016
W HARDING BLVD,approximate half-mile map cell; raw count,29.35,-98.526,1,0,1,2022,2022
W HAUSMAN RD,approximate half-mile map cell; raw count,29.57,-98.64,1,0,1,2017,2017
