Crash ID,year,latitude,longitude,deaths,serious_injuries,radius_m,cluster
18709422,2022,29.57707495,-98.63181227,0,1,250,-1
18721080,2022,29.38740484,-98.40458014,0,1,250,-1
18757623,2022,29.51927345,-98.63720612,1,0,250,-1
18759019,2022,29.51266624,-98.6898746,0,1,250,-1
18798111,2022,29.39700521,-98.64950077,1,0,250,-1
18799998,2022,29.54070835,-98.42120125,0,1,250,-1
18806443,2022,29.35161499,-98.52312231,0,1,250,-1
18814002,2022,29.51586454,-98.4362815,1,0,250,-1
18831242,2022,29.48814496,-98.49237085,1,0,250,-1
18843241,2022,29.48012073,-98.65785939,0,1,250,-1
18879331,2022,29.44277497,-98.49418231,0,1,250,2
18903145,2022,29.46106497,-98.52260231,0,1,250,-1
18927000,2022,29.33724499,-98.5596723,0,1,250,-1
18946663,2022,29.49373496,-98.69201226,0,1,250,-1
18966371,2022,29.48723909,-98.40251265,1,0,250,-1
18975571,2022,29.42955497,-98.5425823,0,1,250,-1
18984287,2022,29.43098497,-98.44992232,0,1,250,-1
19000841,2022,29.42481497,-98.52617231,1,0,250,-1
19002333,2022,29.56306495,-98.60293728,0,1,250,-1
19041154,2022,29.50637022,-98.56333036,0,1,250,-1
19041661,2022,29.50731,-98.41181049,0,1,250,-1
19054952,2022,29.44030546,-98.48366161,1,0,250,-1
19066936,2022,29.54690515,-98.36675117,0,1,250,-1
19116875,2022,29.54911494,-98.37423234,0,1,250,-1
19121688,2022,29.33858499,-98.60216229,0,1,250,-1
19130985,2022,29.47600095,-98.66002021,1,0,250,-1
19134641,2022,29.41141696,-98.60886883,1,0,250,-1
19144220,2022,29.35667278,-98.51596783,0,1,250,3
19240877,2022,29.35667221,-98.51628232,0,1,250,3
19259219,2022,29.54546081,-98.36931882,0,1,250,-1
19265263,2022,29.43692903,-98.55335458,0,1,250,-1
19272853,2022,29.44849497,-98.5973564,0,1,250,-1
19324153,2023,29.50374437,-98.41658948,0,1,250,-1
19362767,2023,29.37325619,-98.55565366,0,1,250,-1
19370941,2023,29.46155496,-98.49930231,0,1,250,-1
19380653,2023,29.43101266,-98.55687997,0,1,250,-1
